"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"updated netlogo abm_herding_model.nlogo.nlogox"
"06-Dataset"
"07/17/2026 21:31:08:960 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","scenario","herding-strength","vision-radius","[step]","price","current-return","volatility","herding-index","buyers-count","sellers-count"
"1","dataset","0.6","8","0","100","0","0","0","0","0"
"4","dataset","0.6","8","0","100","0","0","0","0","0"
"5","dataset","0.6","8","0","100","0","0","0","0","0"
"6","dataset","0.6","8","0","100","0","0","0","0","0"
"2","dataset","0.6","8","0","100","0","0","0","0","0"
"3","dataset","0.6","8","0","100","0","0","0","0","0"
"4","dataset","0.6","8","1","101.7","0.01700000000000003","0.01700000000000003","0.6888888888888889","62","28"
"1","dataset","0.6","8","1","98.4","-0.015999999999999945","0.015999999999999945","0.6777777777777778","29","61"
"6","dataset","0.6","8","1","102.4","0.024000000000000056","0.024000000000000056","0.7666666666666667","69","21"
"5","dataset","0.6","8","1","101.3","0.012999999999999972","0.012999999999999972","0.6444444444444445","58","32"
"2","dataset","0.6","8","1","98.9","-0.010999999999999944","0.010999999999999944","0.6222222222222222","34","56"
"4","dataset","0.6","8","2","99.10000000000001","-0.025565388397246747","0.025565388397246747","0.7888888888888889","19","71"
"1","dataset","0.6","8","2","98.9","0.00508130081300813","0.00508130081300813","0.5555555555555556","50","40"
"5","dataset","0.6","8","2","99.2","-0.020730503455083853","0.020730503455083853","0.7333333333333333","24","66"
"6","dataset","0.6","8","2","102.5","9.765624999999445E-4","9.765624999999445E-4","0.5111111111111111","46","44"
"3","dataset","0.6","8","1","101.3","0.012999999999999972","0.012999999999999972","0.6444444444444445","58","32"
"4","dataset","0.6","8","3","100.10000000000001","0.010090817356205851","0.010090817356205851","0.6111111111111112","55","35"
"1","dataset","0.6","8","3","101.80000000000001","0.029322548028311482","0.029322548028311482","0.8222222222222222","74","16"
"6","dataset","0.6","8","3","100.9","-0.01560975609756092","0.01560975609756092","0.6777777777777778","29","61"
"4","dataset","0.6","8","4","102.80000000000001","0.026973026973027","0.026973026973027","0.8","72","18"
"5","dataset","0.6","8","3","100","0.008064516129032228","0.008064516129032228","0.5888888888888889","53","37"
"1","dataset","0.6","8","4","103.20000000000002","0.013752455795677854","0.013752455795677854","0.6555555555555556","59","31"
"5","dataset","0.6","8","4","101.2","0.012000000000000028","0.012000000000000028","0.6333333333333333","57","33"
"6","dataset","0.6","8","4","97","-0.038652130822596685","0.038652130822596685","0.9333333333333333","6","84"
"4","dataset","0.6","8","5","101.80000000000001","-0.009727626459143967","0.009727626459143967","0.6111111111111112","35","55"
"2","dataset","0.6","8","2","100.30000000000001","0.014155712841253849","0.014155712841253849","0.6555555555555556","59","31"
"3","dataset","0.6","8","2","99","-0.022704837117472825","0.022704837117472825","0.7555555555555555","22","68"
"5","dataset","0.6","8","5","99.8","-0.013833992094861716","0.013833992094861716","0.6555555555555556","31","59"
"1","dataset","0.6","8","5","104.10000000000002","0.008720930232558193","0.008720930232558193","0.6","54","36"
"6","dataset","0.6","8","5","95.7","-0.013402061855670075","0.013402061855670075","0.6444444444444445","32","58"
"4","dataset","0.6","8","6","98.30000000000001","-0.034381139489194495","0.034381139489194495","0.8888888888888888","10","80"
"3","dataset","0.6","8","3","99.4","0.004040404040404098","0.004040404040404098","0.5444444444444444","49","41"
"5","dataset","0.6","8","6","98","-0.01803607214428855","0.01803607214428855","0.7","27","63"
"1","dataset","0.6","8","6","103.50000000000003","-0.0057636887608068605","0.0057636887608068605","0.5666666666666667","39","51"
"4","dataset","0.6","8","7","98.20000000000002","-0.001017293997965354","0.001017293997965354","0.5111111111111111","44","46"
"5","dataset","0.6","8","7","100","0.02040816326530612","0.02040816326530612","0.7222222222222222","65","25"
"4","dataset","0.6","8","8","101.10000000000002","0.02953156822810596","0.02953156822810596","0.8222222222222222","74","16"
"2","dataset","0.6","8","3","99.4","-0.008973080757726876","0.008973080757726876","0.6","36","54"
"6","dataset","0.6","8","6","95.7","0","0","0.5","45","45"
"1","dataset","0.6","8","7","99.50000000000003","-0.03864734299516907","0.03864734299516907","0.9444444444444444","5","85"
"3","dataset","0.6","8","4","103.30000000000001","0.03923541247484915","0.03923541247484915","0.9333333333333333","84","6"
"5","dataset","0.6","8","8","99.6","-0.0040000000000000565","0.0040000000000000565","0.5444444444444444","41","49"
"6","dataset","0.6","8","7","98.4","0.028213166144200656","0.028213166144200656","0.8","72","18"
"2","dataset","0.6","8","4","100.5","0.011066398390341995","0.011066398390341995","0.6222222222222222","56","34"
"1","dataset","0.6","8","8","96.50000000000003","-0.030150753768844213","0.030150753768844213","0.8333333333333334","15","75"
"3","dataset","0.6","8","5","103.9","0.005808325266214853","0.005808325266214853","0.5666666666666667","51","39"
"5","dataset","0.6","8","9","100.5","0.00903614457831331","0.00903614457831331","0.6","54","36"
"6","dataset","0.6","8","8","101.5","0.03150406504065035","0.03150406504065035","0.8444444444444444","76","14"
"4","dataset","0.6","8","9","100.30000000000003","-0.00791295746785358","0.00791295746785358","0.5888888888888889","37","53"
"2","dataset","0.6","8","5","100","-0.004975124378109453","0.004975124378109453","0.5555555555555556","40","50"
"1","dataset","0.6","8","9","95.50000000000003","-0.010362694300518132","0.010362694300518132","0.6111111111111112","35","55"
"5","dataset","0.6","8","10","98.6","-0.018905472636815978","0.018905472636815978","0.7111111111111111","26","64"
"3","dataset","0.6","8","6","102.10000000000001","-0.01732435033686234","0.01732435033686234","0.7","27","63"
"4","dataset","0.6","8","10","97.90000000000002","-0.023928215353938236","0.023928215353938236","0.7666666666666667","21","69"
"6","dataset","0.6","8","9","100.6","-0.008866995073891682","0.008866995073891682","0.6","36","54"
"1","dataset","0.6","8","10","96.20000000000003","0.007329842931937201","0.007329842931937201","0.5777777777777777","52","38"
"5","dataset","0.6","8","11","98.6","0","0","0.5","45","45"
"2","dataset","0.6","8","6","100.1","9.999999999999432E-4","9.999999999999432E-4","0.5111111111111111","46","44"
"3","dataset","0.6","8","7","98.30000000000001","-0.03721841332027421","0.03721841332027421","0.9222222222222223","7","83"
"4","dataset","0.6","8","11","99.00000000000001","0.011235955056179714","0.011235955056179714","0.6222222222222222","56","34"
"6","dataset","0.6","8","10","101.6","0.009940357852882704","0.009940357852882704","0.6111111111111112","55","35"
"2","dataset","0.6","8","7","103.19999999999999","0.030969030969030913","0.030969030969030913","0.8444444444444444","76","14"
"5","dataset","0.6","8","12","101","0.02434077079107511","0.02434077079107511","0.7666666666666667","69","21"
"4","dataset","0.6","8","12","102.70000000000002","0.0373737373737374","0.0373737373737374","0.9111111111111111","82","8"
"6","dataset","0.6","8","11","100.19999999999999","-0.013779527559055175","0.013779527559055175","0.6555555555555556","31","59"
"5","dataset","0.6","8","13","100.7","-0.002970297029702942","0.002970297029702942","0.5333333333333333","42","48"
"2","dataset","0.6","8","8","102.89999999999999","-0.002906976744186019","0.002906976744186019","0.5333333333333333","42","48"
"3","dataset","0.6","8","8","98.80000000000001","0.0050864699898270594","0.0050864699898270594","0.5555555555555556","50","40"
"4","dataset","0.6","8","13","100.60000000000002","-0.020447906523855832","0.020447906523855832","0.7333333333333333","24","66"
"2","dataset","0.6","8","9","99.99999999999999","-0.028182701652089463","0.028182701652089463","0.8222222222222222","16","74"
"5","dataset","0.6","8","14","97.8","-0.02879841112214504","0.02879841112214504","0.8222222222222222","16","74"
"3","dataset","0.6","8","9","101.80000000000001","0.030364372469635623","0.030364372469635623","0.8333333333333334","75","15"
"4","dataset","0.6","8","14","97.20000000000002","-0.03379721669980124","0.03379721669980124","0.8777777777777778","11","79"
"2","dataset","0.6","8","10","99.19999999999999","-0.007999999999999972","0.007999999999999972","0.5888888888888889","37","53"
"3","dataset","0.6","8","10","101.20000000000002","-0.005893909626719001","0.005893909626719001","0.5666666666666667","39","51"
"6","dataset","0.6","8","12","99.19999999999999","-0.009980039920159682","0.009980039920159682","0.6111111111111112","35","55"
"5","dataset","0.6","8","15","98.39999999999999","0.006134969325153316","0.006134969325153316","0.5666666666666667","51","39"
"4","dataset","0.6","8","15","97.50000000000001","0.00308641975308639","0.00308641975308639","0.5333333333333333","48","42"
"1","dataset","0.6","8","11","98.00000000000003","0.018711018711018674","0.018711018711018674","0.7","63","27"
"5","dataset","0.6","8","16","100.89999999999999","0.025406504065040653","0.025406504065040653","0.7777777777777778","70","20"
"3","dataset","0.6","8","11","98.10000000000002","-0.030632411067193614","0.030632411067193614","0.8444444444444444","14","76"
"1","dataset","0.6","8","12","101.40000000000003","0.034693877551020456","0.034693877551020456","0.8777777777777778","79","11"
"4","dataset","0.6","8","16","99.80000000000001","0.023589743589743556","0.023589743589743556","0.7555555555555555","68","22"
"6","dataset","0.6","8","13","100.39999999999999","0.012096774193548418","0.012096774193548418","0.6333333333333333","57","33"
"2","dataset","0.6","8","11","100.49999999999999","0.013104838709677392","0.013104838709677392","0.6444444444444445","58","32"
"3","dataset","0.6","8","12","99.20000000000002","0.011213047910295556","0.011213047910295556","0.6222222222222222","56","34"
"5","dataset","0.6","8","17","101.8","0.008919722497522356","0.008919722497522356","0.6","54","36"
"1","dataset","0.6","8","13","101.30000000000004","-9.861932938855452E-4","9.861932938855452E-4","0.5111111111111111","44","46"
"2","dataset","0.6","8","12","99.99999999999999","-0.0049751243781094535","0.0049751243781094535","0.5555555555555556","40","50"
"4","dataset","0.6","8","17","100.70000000000002","0.009018036072144344","0.009018036072144344","0.6","54","36"
"6","dataset","0.6","8","14","101.1","0.006972111553784889","0.006972111553784889","0.5777777777777777","52","38"
"5","dataset","0.6","8","18","100.1","-0.016699410609037357","0.016699410609037357","0.6888888888888889","28","62"
"4","dataset","0.6","8","18","98.20000000000002","-0.02482621648460774","0.02482621648460774","0.7777777777777778","20","70"
"3","dataset","0.6","8","13","102.00000000000001","0.02822580645161287","0.02822580645161287","0.8111111111111111","73","17"
"6","dataset","0.6","8","15","99.5","-0.015825914935707164","0.015825914935707164","0.6777777777777778","29","61"
"1","dataset","0.6","8","14","100.10000000000004","-0.011846001974333685","0.011846001974333685","0.6333333333333333","33","57"
"2","dataset","0.6","8","13","101.79999999999998","0.017999999999999974","0.017999999999999974","0.7","63","27"
"5","dataset","0.6","8","19","101.89999999999999","0.017982017982017956","0.017982017982017956","0.7","63","27"
"4","dataset","0.6","8","19","98.60000000000002","0.0040733197556008715","0.0040733197556008715","0.5444444444444444","49","41"
"5","dataset","0.6","8","20","101.6","-0.0029440628066731813","0.0029440628066731813","0.5333333333333333","42","48"
"3","dataset","0.6","8","14","101.20000000000002","-0.007843137254901931","0.007843137254901931","0.5888888888888889","37","53"
"6","dataset","0.6","8","16","99.7","0.00201005025125631","0.00201005025125631","0.5222222222222223","47","43"
"1","dataset","0.6","8","15","97.20000000000003","-0.028971028971029017","0.028971028971029017","0.8222222222222222","16","74"
"2","dataset","0.6","8","14","100.39999999999998","-0.013752455795677857","0.013752455795677857","0.6555555555555556","31","59"
"4","dataset","0.6","8","20","101.20000000000002","0.02636916835699791","0.02636916835699791","0.7888888888888889","71","19"
"5","dataset","0.6","8","21","97.8","-0.03740157480314958","0.03740157480314958","0.9222222222222223","7","83"
"6","dataset","0.6","8","17","103.3","0.036108324974924715","0.036108324974924715","0.9","81","9"
"3","dataset","0.6","8","15","98.70000000000002","-0.02470355731225296","0.02470355731225296","0.7777777777777778","20","70"
"1","dataset","0.6","8","16","97.00000000000003","-0.002057613168724308","0.002057613168724308","0.5222222222222223","43","47"
"2","dataset","0.6","8","15","97.69999999999997","-0.026892430278884497","0.026892430278884497","0.8","18","72"
"4","dataset","0.6","8","21","99.90000000000002","-0.01284584980237151","0.01284584980237151","0.6444444444444445","32","58"
"5","dataset","0.6","8","22","97.2","-0.006134969325153316","0.006134969325153316","0.5666666666666667","39","51"
"6","dataset","0.6","8","18","105.1","0.017424975798644698","0.017424975798644698","0.7","63","27"
"3","dataset","0.6","8","16","100.20000000000002","0.015197568389057748","0.015197568389057748","0.6666666666666666","60","30"
"2","dataset","0.6","8","16","97.59999999999998","-0.001023541453428806","0.001023541453428806","0.5111111111111111","44","46"
"5","dataset","0.6","8","23","98.4","0.012345679012345708","0.012345679012345708","0.6333333333333333","57","33"
"4","dataset","0.6","8","22","96.20000000000002","-0.037037037037037056","0.037037037037037056","0.9111111111111111","8","82"
"6","dataset","0.6","8","19","106.19999999999999","0.010466222645099851","0.010466222645099851","0.6222222222222222","56","34"
"5","dataset","0.6","8","24","101.5","0.03150406504065035","0.03150406504065035","0.8444444444444444","76","14"
"2","dataset","0.6","8","17","100.99999999999999","0.03483606557377056","0.03483606557377056","0.8777777777777778","79","11"
"1","dataset","0.6","8","17","99.30000000000003","0.02371134020618553","0.02371134020618553","0.7555555555555555","68","22"
"4","dataset","0.6","8","23","96.00000000000001","-0.002079002079002108","0.002079002079002108","0.5222222222222223","43","47"
"6","dataset","0.6","8","20","104.6","-0.015065913370998064","0.015065913370998064","0.6777777777777778","29","61"
"5","dataset","0.6","8","25","100.9","-0.005911330049261028","0.005911330049261028","0.5666666666666667","39","51"
"4","dataset","0.6","8","24","98.90000000000002","0.03020833333333339","0.03020833333333339","0.8222222222222222","74","16"
"2","dataset","0.6","8","18","102.29999999999998","0.012871287128712845","0.012871287128712845","0.6444444444444445","58","32"
"5","dataset","0.6","8","26","101.60000000000001","0.0069375619425173715","0.0069375619425173715","0.5777777777777777","52","38"
"1","dataset","0.6","8","18","98.80000000000003","-0.0050352467270896265","0.0050352467270896265","0.5555555555555556","40","50"
"3","dataset","0.6","8","17","103.80000000000001","0.03592814371257479","0.03592814371257479","0.9","81","9"
"4","dataset","0.6","8","25","103.20000000000002","0.04347826086956518","0.04347826086956518","0.9777777777777777","88","2"
"1","dataset","0.6","8","19","97.70000000000003","-0.011133603238866337","0.011133603238866337","0.6222222222222222","34","56"
"3","dataset","0.6","8","18","103.10000000000001","-0.006743737957610817","0.006743737957610817","0.5777777777777777","38","52"
"5","dataset","0.6","8","27","100.9","-0.006889763779527587","0.006889763779527587","0.5777777777777777","38","52"
"2","dataset","0.6","8","19","101.29999999999998","-0.009775171065493648","0.009775171065493648","0.6111111111111112","35","55"
"6","dataset","0.6","8","21","100.3","-0.04110898661567875","0.04110898661567875","0.9777777777777777","2","88"
"5","dataset","0.6","8","28","101.9","0.009910802775024777","0.009910802775024777","0.6111111111111112","55","35"
"4","dataset","0.6","8","26","103.70000000000002","0.004844961240310077","0.004844961240310077","0.5555555555555556","50","40"
"2","dataset","0.6","8","20","98.49999999999999","-0.02764067127344519","0.02764067127344519","0.8111111111111111","17","73"
"6","dataset","0.6","8","22","97.39999999999999","-0.02891326021934203","0.02891326021934203","0.8222222222222222","16","74"
"5","dataset","0.6","8","29","100.7","-0.011776251226692864","0.011776251226692864","0.6333333333333333","33","57"
"4","dataset","0.6","8","27","102.20000000000002","-0.014464802314368369","0.014464802314368369","0.6666666666666666","30","60"
"1","dataset","0.6","8","20","97.80000000000003","0.0010235414534288053","0.0010235414534288053","0.5111111111111111","46","44"
"5","dataset","0.6","8","30","102.8","0.02085402184707045","0.02085402184707045","0.7333333333333333","66","24"
"6","dataset","0.6","8","23","95.89999999999999","-0.01540041067761807","0.01540041067761807","0.6666666666666666","30","60"
"2","dataset","0.6","8","21","97.79999999999998","-0.007106598984771603","0.007106598984771603","0.5777777777777777","38","52"
"4","dataset","0.6","8","28","98.40000000000002","-0.03718199608610564","0.03718199608610564","0.9222222222222223","7","83"
"3","dataset","0.6","8","19","99.30000000000001","-0.036857419980601325","0.036857419980601325","0.9222222222222223","7","83"
"1","dataset","0.6","8","21","99.60000000000002","0.01840490797546009","0.01840490797546009","0.7","63","27"
"5","dataset","0.6","8","31","101","-0.017509727626459116","0.017509727626459116","0.7","27","63"
"2","dataset","0.6","8","22","99.59999999999998","0.018404907975460096","0.018404907975460096","0.7","63","27"
"4","dataset","0.6","8","29","98.10000000000002","-0.0030487804878048487","0.0030487804878048487","0.5333333333333333","42","48"
"3","dataset","0.6","8","20","98.4","-0.009063444108761386","0.009063444108761386","0.6","36","54"
"1","dataset","0.6","8","22","100.50000000000003","0.009036144578313308","0.009036144578313308","0.6","54","36"
"5","dataset","0.6","8","32","102.1","0.010891089108910835","0.010891089108910835","0.6222222222222222","56","34"
"4","dataset","0.6","8","30","99.80000000000003","0.017329255861365977","0.017329255861365977","0.6888888888888889","62","28"
"2","dataset","0.6","8","23","103.49999999999999","0.03915662650602416","0.03915662650602416","0.9333333333333333","84","6"
"6","dataset","0.6","8","24","95.6","-0.003128258602711128","0.003128258602711128","0.5333333333333333","42","48"
"3","dataset","0.6","8","21","100.30000000000001","0.01930894308943095","0.01930894308943095","0.7111111111111111","64","26"
"5","dataset","0.6","8","33","101.5","-0.005876591576885351","0.005876591576885351","0.5666666666666667","39","51"
"4","dataset","0.6","8","31","100.00000000000003","0.002004008016032092","0.002004008016032092","0.5222222222222223","47","43"
"2","dataset","0.6","8","24","103.59999999999998","9.661835748791723E-4","9.661835748791723E-4","0.5111111111111111","46","44"
"5","dataset","0.6","8","34","103.1","0.0157635467980295","0.0157635467980295","0.6777777777777778","61","29"
"1","dataset","0.6","8","23","99.70000000000003","-0.007960199004975094","0.007960199004975094","0.5888888888888889","37","53"
"4","dataset","0.6","8","32","97.50000000000003","-0.024999999999999994","0.024999999999999994","0.7777777777777778","20","70"
"5","dataset","0.6","8","35","102.89999999999999","-0.0019398642095053624","0.0019398642095053624","0.5222222222222223","43","47"
"2","dataset","0.6","8","25","100.59999999999998","-0.028957528957528962","0.028957528957528962","0.8333333333333334","15","75"
"4","dataset","0.6","8","33","98.30000000000003","0.008205128205128174","0.008205128205128174","0.5888888888888889","53","37"
"1","dataset","0.6","8","24","96.60000000000004","-0.031093279839518487","0.031093279839518487","0.8444444444444444","14","76"
"3","dataset","0.6","8","22","104.60000000000001","0.04287138584247255","0.04287138584247255","0.9777777777777777","88","2"
"5","dataset","0.6","8","36","100.89999999999999","-0.019436345966958212","0.019436345966958212","0.7222222222222222","25","65"
"4","dataset","0.6","8","34","101.30000000000003","0.03051881993896235","0.03051881993896235","0.8333333333333334","75","15"
"6","dataset","0.6","8","25","97.8","0.023012552301255262","0.023012552301255262","0.7444444444444445","67","23"
"3","dataset","0.6","8","23","105.4","0.007648183556405326","0.007648183556405326","0.5888888888888889","53","37"
"2","dataset","0.6","8","26","99.69999999999997","-0.008946322067594492","0.008946322067594492","0.6","36","54"
"4","dataset","0.6","8","35","100.30000000000003","-0.009871668311944717","0.009871668311944717","0.6111111111111112","35","55"
"1","dataset","0.6","8","25","95.40000000000003","-0.01242236024844723","0.01242236024844723","0.6333333333333333","33","57"
"7","dataset","0.6","8","0","100","0","0","0","0","0"
"6","dataset","0.6","8","26","101.2","0.03476482617586918","0.03476482617586918","0.8777777777777778","79","11"
"3","dataset","0.6","8","24","103.9","-0.014231499051233396","0.014231499051233396","0.6666666666666666","30","60"
"4","dataset","0.6","8","36","97.00000000000003","-0.032901296111664965","0.032901296111664965","0.8666666666666667","12","78"
"2","dataset","0.6","8","27","101.79999999999997","0.021063189568706068","0.021063189568706068","0.7333333333333333","66","24"
"7","dataset","0.6","8","1","101.7","0.01700000000000003","0.01700000000000003","0.6888888888888889","62","28"
"1","dataset","0.6","8","26","94.80000000000004","-0.006289308176100567","0.006289308176100567","0.5666666666666667","39","51"
"3","dataset","0.6","8","25","100","-0.03753609239653518","0.03753609239653518","0.9333333333333333","6","84"
"7","dataset","0.6","8","2","101","-0.006882989183874168","0.006882989183874168","0.5777777777777777","38","52"
"6","dataset","0.6","8","27","102.4","0.01185770750988145","0.01185770750988145","0.6333333333333333","57","33"
"2","dataset","0.6","8","28","101.19999999999997","-0.005893909626719003","0.005893909626719003","0.5666666666666667","39","51"
"3","dataset","0.6","8","26","99.7","-0.0029999999999999714","0.0029999999999999714","0.5333333333333333","42","48"
"8","dataset","0.6","8","0","100","0","0","0","0","0"
"6","dataset","0.6","8","28","102.10000000000001","-0.0029296874999999722","0.0029296874999999722","0.5333333333333333","42","48"
"7","dataset","0.6","8","3","97.9","-0.030693069306930637","0.030693069306930637","0.8444444444444444","14","76"
"2","dataset","0.6","8","29","98.49999999999997","-0.026679841897233235","0.026679841897233235","0.8","18","72"
"1","dataset","0.6","8","27","95.30000000000004","0.0052742616033755255","0.0052742616033755255","0.5555555555555556","50","40"
"8","dataset","0.6","8","1","99.2","-0.007999999999999972","0.007999999999999972","0.5888888888888889","37","53"
"6","dataset","0.6","8","29","100.10000000000001","-0.01958863858961802","0.01958863858961802","0.7222222222222222","25","65"
"3","dataset","0.6","8","27","101.4","0.01705115346038117","0.01705115346038117","0.6888888888888889","62","28"
"2","dataset","0.6","8","30","99.29999999999997","0.008121827411167485","0.008121827411167485","0.5888888888888889","53","37"
"1","dataset","0.6","8","28","97.40000000000003","0.022035676810073384","0.022035676810073384","0.7333333333333333","66","24"
"7","dataset","0.6","8","4","97.5","-0.004085801838610886","0.004085801838610886","0.5444444444444444","41","49"
"8","dataset","0.6","8","2","98.10000000000001","-0.011088709677419296","0.011088709677419296","0.6222222222222222","34","56"
"3","dataset","0.6","8","28","99.30000000000001","-0.020710059171597576","0.020710059171597576","0.7333333333333333","24","66"
"6","dataset","0.6","8","30","98.00000000000001","-0.02097902097902092","0.02097902097902092","0.7333333333333333","24","66"
"2","dataset","0.6","8","31","101.89999999999996","0.026183282980866012","0.026183282980866012","0.7888888888888889","71","19"
"7","dataset","0.6","8","5","101","0.035897435897435895","0.035897435897435895","0.8888888888888888","80","10"
"8","dataset","0.6","8","3","97.10000000000001","-0.01019367991845056","0.01019367991845056","0.6111111111111112","35","55"
"1","dataset","0.6","8","29","101.30000000000004","0.04004106776180703","0.04004106776180703","0.9333333333333333","84","6"
"2","dataset","0.6","8","32","101.49999999999996","-0.003925417075564336","0.003925417075564336","0.5444444444444444","41","49"
"6","dataset","0.6","8","31","97.90000000000002","-0.0010204081632652479","0.0010204081632652479","0.5111111111111111","44","46"
"7","dataset","0.6","8","6","101.3","0.002970297029702942","0.002970297029702942","0.5333333333333333","48","42"
"8","dataset","0.6","8","4","96.80000000000001","-0.0030895983522141826","0.0030895983522141826","0.5333333333333333","42","48"
