"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"updated netlogo abm_herding_model.nlogo.nlogox"
"01-Baseline"
"07/17/2026 21:26:22:439 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","scenario","herding-strength","vision-radius","[step]","price","current-return","volatility","herding-index","buyers-count","sellers-count"
"1","baseline","0.6","8","0","100","0","0","0","0","0"
"1","baseline","0.6","8","1","103","0.03","0.03","0.8333333333333334","75","15"
"1","baseline","0.6","8","2","105.5","0.024271844660194174","0.024271844660194174","0.7777777777777778","70","20"
"1","baseline","0.6","8","3","108","0.023696682464454975","0.023696682464454975","0.7777777777777778","70","20"
"1","baseline","0.6","8","4","110.5","0.023148148148148147","0.023148148148148147","0.7777777777777778","70","20"
"1","baseline","0.6","8","5","112.9","0.021719457013574712","0.021719457013574712","0.7666666666666667","69","21"
"6","baseline","0.6","8","0","100","0","0","0","0","0"
"4","baseline","0.6","8","0","100","0","0","0","0","0"
"6","baseline","0.6","8","1","101.9","0.01900000000000006","0.01900000000000006","0.7111111111111111","64","26"
"3","baseline","0.6","8","0","100","0","0","0","0","0"
"2","baseline","0.6","8","0","100","0","0","0","0","0"
"5","baseline","0.6","8","0","100","0","0","0","0","0"
"4","baseline","0.6","8","1","103","0.03","0.03","0.8333333333333334","75","15"
"6","baseline","0.6","8","2","102.30000000000001","0.003925417075564334","0.003925417075564334","0.5444444444444444","49","41"
"3","baseline","0.6","8","1","97.5","-0.025","0.025","0.7777777777777778","20","70"
"1","baseline","0.6","8","6","115.4","0.022143489813994683","0.022143489813994683","0.7777777777777778","70","20"
"5","baseline","0.6","8","1","102","0.02","0.02","0.7222222222222222","65","25"
"6","baseline","0.6","8","3","99.60000000000001","-0.02639296187683287","0.02639296187683287","0.8","18","72"
"3","baseline","0.6","8","2","96.1","-0.014358974358974418","0.014358974358974418","0.6555555555555556","31","59"
"2","baseline","0.6","8","1","97.3","-0.027000000000000027","0.027000000000000027","0.8","18","72"
"1","baseline","0.6","8","7","117.9","0.02166377816291161","0.02166377816291161","0.7777777777777778","70","20"
"6","baseline","0.6","8","4","98.2","-0.014056224899598449","0.014056224899598449","0.6555555555555556","31","59"
"3","baseline","0.6","8","3","94.5","-0.01664932362122783","0.01664932362122783","0.6777777777777778","29","61"
"1","baseline","0.6","8","8","120.4","0.021204410517387615","0.021204410517387615","0.7777777777777778","70","20"
