"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"updated netlogo abm_herding_model.nlogo.nlogox"
"02-SentimentShock"
"07/17/2026 21:26:54:666 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","scenario","herding-strength","vision-radius","[step]","price","current-return","volatility","herding-index","buyers-count","sellers-count"
"2","sentiment-shock","0.6","8","6","115.09999999999998","0.020390070921985793","0.020390070921985793","0.7555555555555555","68","22"
"3","sentiment-shock","0.6","8","9","92.8","-0.01381509032943674","0.01381509032943674","0.6444444444444445","32","58"
"5","sentiment-shock","0.6","8","11","75.09999999999998","-0.025940337224383922","0.025940337224383922","0.7222222222222222","25","65"
"6","sentiment-shock","0.6","8","9","117.20000000000002","0.01913043478260872","0.01913043478260872","0.7444444444444445","67","23"
"1","sentiment-shock","0.6","8","11","119.90000000000005","0.01610169491525428","0.01610169491525428","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","7","117.29999999999998","0.019113814074717666","0.019113814074717666","0.7444444444444445","67","23"
"6","sentiment-shock","0.6","8","10","119.40000000000002","0.0187713310580205","0.0187713310580205","0.7444444444444445","67","23"
"1","sentiment-shock","0.6","8","12","121.80000000000005","0.01584653878231864","0.01584653878231864","0.7111111111111111","64","26"
"5","sentiment-shock","0.6","8","12","72.89999999999998","-0.029294274300932135","0.029294274300932135","0.7444444444444445","23","67"
"6","sentiment-shock","0.6","8","11","121.60000000000002","0.018425460636515935","0.018425460636515935","0.7444444444444445","67","23"
"1","sentiment-shock","0.6","8","13","123.70000000000006","0.015599343185550122","0.015599343185550122","0.7111111111111111","64","26"
"3","sentiment-shock","0.6","8","10","91.5","-0.014008620689655141","0.014008620689655141","0.6444444444444445","32","58"
"4","sentiment-shock","0.6","8","7","105.9","0.011461318051575959","0.011461318051575959","0.6333333333333333","57","33"
"2","sentiment-shock","0.6","8","8","119.59999999999998","0.01960784313725488","0.01960784313725488","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","12","123.80000000000003","0.018092105263157916","0.018092105263157916","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","9","121.89999999999998","0.01923076923076921","0.01923076923076921","0.7555555555555555","68","22"
"5","sentiment-shock","0.6","8","13","70.69999999999997","-0.03017832647462282","0.03017832647462282","0.7444444444444445","23","67"
"3","sentiment-shock","0.6","8","11","90.3","-0.013114754098360687","0.013114754098360687","0.6333333333333333","33","57"
"1","sentiment-shock","0.6","8","14","125.60000000000007","0.015359741309620086","0.015359741309620086","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","13","125.80000000000003","0.016155088852988688","0.016155088852988688","0.7222222222222222","65","25"
"4","sentiment-shock","0.6","8","8","103.9","-0.018885741265344664","0.018885741265344664","0.7222222222222222","25","65"
"2","sentiment-shock","0.6","8","10","124.19999999999997","0.01886792452830187","0.01886792452830187","0.7555555555555555","68","22"
"5","sentiment-shock","0.6","8","14","68.49999999999997","-0.03111739745403117","0.03111739745403117","0.7444444444444445","23","67"
"6","sentiment-shock","0.6","8","14","127.80000000000003","0.015898251192368835","0.015898251192368835","0.7222222222222222","65","25"
"3","sentiment-shock","0.6","8","12","89.2","-0.012181616832779562","0.012181616832779562","0.6222222222222222","34","56"
"2","sentiment-shock","0.6","8","11","126.49999999999997","0.0185185185185185","0.0185185185185185","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","15","127.50000000000007","0.015127388535031884","0.015127388535031884","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","9","99.4","-0.04331087584215592","0.04331087584215592","1","0","90"
"2","sentiment-shock","0.6","8","12","128.79999999999998","0.018181818181818275","0.018181818181818275","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","15","129.90000000000003","0.01643192488262917","0.01643192488262917","0.7333333333333333","66","24"
"5","sentiment-shock","0.6","8","15","66.29999999999997","-0.03211678832116794","0.03211678832116794","0.7444444444444445","23","67"
"3","sentiment-shock","0.6","8","13","89.4","0.0022421524663677446","0.0022421524663677446","0.5222222222222223","47","43"
"1","sentiment-shock","0.6","8","16","129.20000000000007","0.013333333333333348","0.013333333333333348","0.6888888888888889","62","28"
"4","sentiment-shock","0.6","8","10","98.2","-0.012072434607645902","0.012072434607645902","0.6333333333333333","33","57"
"6","sentiment-shock","0.6","8","16","131.90000000000003","0.015396458814472666","0.015396458814472666","0.7222222222222222","65","25"
"1","sentiment-shock","0.6","8","17","131.00000000000009","0.01393188854489172","0.01393188854489172","0.7","63","27"
"3","sentiment-shock","0.6","8","14","93.60000000000001","0.04697986577181211","0.04697986577181211","0.9666666666666667","87","3"
"5","sentiment-shock","0.6","8","16","64.09999999999997","-0.03318250377073912","0.03318250377073912","0.7444444444444445","23","67"
"4","sentiment-shock","0.6","8","11","97.3","-0.00916496945010189","0.00916496945010189","0.6","36","54"
"1","sentiment-shock","0.6","8","18","132.9000000000001","0.014503816793893164","0.014503816793893164","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","12","96.39999999999999","-0.009249743062692762","0.009249743062692762","0.6","36","54"
"3","sentiment-shock","0.6","8","15","98.10000000000001","0.04807692307692307","0.04807692307692307","1","90","0"
"1","sentiment-shock","0.6","8","19","134.8000000000001","0.01429646350639582","0.01429646350639582","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","13","95.3","-0.01141078838174268","0.01141078838174268","0.6222222222222222","34","56"
"3","sentiment-shock","0.6","8","16","102.60000000000001","0.04587155963302752","0.04587155963302752","1","90","0"
"1","sentiment-shock","0.6","8","20","136.7000000000001","0.014094955489614275","0.014094955489614275","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","14","94.2","-0.011542497376705083","0.011542497376705083","0.6222222222222222","34","56"
"1","sentiment-shock","0.6","8","21","138.5000000000001","0.013167520117044697","0.013167520117044697","0.7","63","27"
"2","sentiment-shock","0.6","8","13","130.99999999999997","0.01708074534161482","0.01708074534161482","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","17","103.9","0.012670565302144221","0.012670565302144221","0.6444444444444445","58","32"
"6","sentiment-shock","0.6","8","17","133.90000000000003","0.015163002274450338","0.015163002274450338","0.7222222222222222","65","25"
"2","sentiment-shock","0.6","8","14","133.29999999999998","0.017557251908397038","0.017557251908397038","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","18","136.00000000000003","0.015683345780433112","0.015683345780433112","0.7333333333333333","66","24"
"3","sentiment-shock","0.6","8","18","104.7","0.007699711260827691","0.007699711260827691","0.5888888888888889","53","37"
"1","sentiment-shock","0.6","8","22","140.2000000000001","0.012274368231046839","0.012274368231046839","0.6888888888888889","62","28"
"2","sentiment-shock","0.6","8","15","135.6","0.017254313578394687","0.017254313578394687","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","19","137.90000000000003","0.013970588235294156","0.013970588235294156","0.7111111111111111","64","26"
"5","sentiment-shock","0.6","8","17","61.89999999999996","-0.03432137285491426","0.03432137285491426","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","23","142.0000000000001","0.0128388017118403","0.0128388017118403","0.7","63","27"
"3","sentiment-shock","0.6","8","19","105.10000000000001","0.0038204393505253645","0.0038204393505253645","0.5444444444444444","49","41"
"6","sentiment-shock","0.6","8","20","139.90000000000003","0.014503263234227697","0.014503263234227697","0.7222222222222222","65","25"
"1","sentiment-shock","0.6","8","24","143.90000000000012","0.013380281690140874","0.013380281690140874","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","21","142.10000000000002","0.015725518227305134","0.015725518227305134","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","16","137.9","0.016961651917404213","0.016961651917404213","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","25","145.80000000000013","0.01320361362056987","0.01320361362056987","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","22","144.20000000000002","0.014778325123152667","0.014778325123152667","0.7333333333333333","66","24"
"5","sentiment-shock","0.6","8","18","59.69999999999996","-0.03554119547657519","0.03554119547657519","0.7444444444444445","23","67"
"3","sentiment-shock","0.6","8","20","103.80000000000001","-0.012369172216936224","0.012369172216936224","0.6444444444444445","32","58"
"2","sentiment-shock","0.6","8","17","140.20000000000002","0.01667875271936194","0.01667875271936194","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","23","146.4","0.015256588072121971","0.015256588072121971","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","21","99.4","-0.042389210019267876","0.042389210019267876","0.9888888888888889","1","89"
"2","sentiment-shock","0.6","8","18","142.50000000000003","0.016405135520684816","0.016405135520684816","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","24","148.6","0.015027322404371506","0.015027322404371506","0.7444444444444445","67","23"
"4","sentiment-shock","0.6","8","15","93","-0.012738853503184744","0.012738853503184744","0.6333333333333333","33","57"
"6","sentiment-shock","0.6","8","25","150.79999999999998","0.014804845222072602","0.014804845222072602","0.7444444444444445","67","23"
"5","sentiment-shock","0.6","8","19","57.69999999999996","-0.03350083752093805","0.03350083752093805","0.7222222222222222","25","65"
"6","sentiment-shock","0.6","8","26","152.99999999999997","0.014588859416445549","0.014588859416445549","0.7444444444444445","67","23"
"4","sentiment-shock","0.6","8","16","91.8","-0.012903225806451644","0.012903225806451644","0.6333333333333333","33","57"
"2","sentiment-shock","0.6","8","19","144.70000000000002","0.015438596491227988","0.015438596491227988","0.7444444444444445","67","23"
"6","sentiment-shock","0.6","8","27","154.99999999999997","0.013071895424836603","0.013071895424836603","0.7222222222222222","65","25"
"1","sentiment-shock","0.6","8","26","147.70000000000013","0.013031550068587134","0.013031550068587134","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","28","157.19999999999996","0.014193548387096704","0.014193548387096704","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","20","146.8","0.014512785072563884","0.014512785072563884","0.7333333333333333","66","24"
"5","sentiment-shock","0.6","8","20","55.69999999999996","-0.034662045060658606","0.034662045060658606","0.7222222222222222","25","65"
"4","sentiment-shock","0.6","8","17","91","-0.008714596949891037","0.008714596949891037","0.5888888888888889","37","53"
"6","sentiment-shock","0.6","8","29","159.39999999999995","0.013994910941475758","0.013994910941475758","0.7444444444444445","67","23"
"1","sentiment-shock","0.6","8","27","149.60000000000014","0.012863913337847014","0.012863913337847014","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","21","148.70000000000002","0.012942779291553172","0.012942779291553172","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","30","161.59999999999994","0.01380175658720194","0.01380175658720194","0.7444444444444445","67","23"
"5","sentiment-shock","0.6","8","21","53.49999999999996","-0.03949730700179541","0.03949730700179541","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","28","151.50000000000014","0.012700534759358315","0.012700534759358315","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","22","150.60000000000002","0.012777404169468766","0.012777404169468766","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","31","163.69999999999993","0.012995049504950465","0.012995049504950465","0.7333333333333333","66","24"
"1","sentiment-shock","0.6","8","29","153.30000000000015","0.011881188118811946","0.011881188118811946","0.7","63","27"
"6","sentiment-shock","0.6","8","32","165.89999999999992","0.013439218081856991","0.013439218081856991","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","23","152.70000000000002","0.013944223107569681","0.013944223107569681","0.7333333333333333","66","24"
"5","sentiment-shock","0.6","8","22","51.299999999999955","-0.04112149532710289","0.04112149532710289","0.7444444444444445","23","67"
"4","sentiment-shock","0.6","8","18","90.1","-0.009890109890109952","0.009890109890109952","0.6","36","54"
"1","sentiment-shock","0.6","8","30","155.20000000000016","0.012393998695368584","0.012393998695368584","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","33","168.0999999999999","0.013261000602772693","0.013261000602772693","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","24","155.00000000000003","0.01506221349050433","0.01506221349050433","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","34","170.2999999999999","0.013087447947650148","0.013087447947650148","0.7444444444444445","67","23"
"1","sentiment-shock","0.6","8","31","157.10000000000016","0.012242268041237138","0.012242268041237138","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","19","88.89999999999999","-0.013318534961154305","0.013318534961154305","0.6333333333333333","33","57"
"2","sentiment-shock","0.6","8","25","157.30000000000004","0.014838709677419425","0.014838709677419425","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","32","159.00000000000017","0.012094207511139425","0.012094207511139425","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","26","159.60000000000005","0.014621741894469235","0.014621741894469235","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","20","87.8","-0.012373453318335146","0.012373453318335146","0.6222222222222222","34","56"
"3","sentiment-shock","0.6","8","22","98.10000000000001","-0.01307847082494967","0.01307847082494967","0.6444444444444445","32","58"
"6","sentiment-shock","0.6","8","35","172.4999999999999","0.012918379330593012","0.012918379330593012","0.7444444444444445","67","23"
"1","sentiment-shock","0.6","8","33","160.90000000000018","0.011949685534591218","0.011949685534591218","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","27","161.90000000000006","0.014411027568922373","0.014411027568922373","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","21","86.8","-0.011389521640091117","0.011389521640091117","0.6111111111111112","35","55"
"3","sentiment-shock","0.6","8","23","98.2","0.001019367991844998","0.001019367991844998","0.5111111111111111","46","44"
"1","sentiment-shock","0.6","8","34","162.7000000000002","0.011187072715972713","0.011187072715972713","0.7","63","27"
"5","sentiment-shock","0.6","8","23","49.09999999999995","-0.0428849902534114","0.0428849902534114","0.7444444444444445","23","67"
"2","sentiment-shock","0.6","8","28","164.20000000000007","0.014206300185299633","0.014206300185299633","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","22","85.7","-0.012672811059907769","0.012672811059907769","0.6222222222222222","34","56"
"1","sentiment-shock","0.6","8","35","164.6000000000002","0.011677934849416125","0.011677934849416125","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","29","166.50000000000009","0.0140073081607796","0.0140073081607796","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","36","174.69999999999987","0.01275362318840574","0.01275362318840574","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","24","102.5","0.043788187372708724","0.043788187372708724","0.9777777777777777","88","2"
"4","sentiment-shock","0.6","8","23","84.5","-0.014002333722287081","0.014002333722287081","0.6333333333333333","33","57"
"2","sentiment-shock","0.6","8","30","168.8000000000001","0.013813813813813875","0.013813813813813875","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","36","166.5000000000002","0.011543134872418004","0.011543134872418004","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","24","83.3","-0.014201183431952697","0.014201183431952697","0.6333333333333333","33","57"
"2","sentiment-shock","0.6","8","31","171.1000000000001","0.01362559241706167","0.01362559241706167","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","37","168.4000000000002","0.011411411411411432","0.011411411411411432","0.7111111111111111","64","26"
"2","sentiment-shock","0.6","8","32","173.40000000000012","0.013442431326709584","0.013442431326709584","0.7555555555555555","68","22"
"5","sentiment-shock","0.6","8","24","46.89999999999995","-0.04480651731160906","0.04480651731160906","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","38","170.3000000000002","0.011282660332541588","0.011282660332541588","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","25","82.3","-0.012004801920768308","0.012004801920768308","0.6111111111111112","35","55"
"3","sentiment-shock","0.6","8","25","103.8","0.012682926829268266","0.012682926829268266","0.6444444444444445","58","32"
"2","sentiment-shock","0.6","8","33","175.70000000000013","0.013264129181084255","0.013264129181084255","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","39","172.20000000000022","0.011156782149148581","0.011156782149148581","0.7111111111111111","64","26"
"3","sentiment-shock","0.6","8","26","105.1","0.012524084778420012","0.012524084778420012","0.6444444444444445","58","32"
"6","sentiment-shock","0.6","8","37","176.89999999999986","0.012593016599885463","0.012593016599885463","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","34","178.00000000000014","0.013090495162208365","0.013090495162208365","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","26","81.3","-0.012150668286755772","0.012150668286755772","0.6111111111111112","35","55"
"6","sentiment-shock","0.6","8","38","179.09999999999985","0.012436404748445394","0.012436404748445394","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","35","180.30000000000015","0.012921348314606795","0.012921348314606795","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","40","174.10000000000022","0.011033681765389101","0.011033681765389101","0.7111111111111111","64","26"
"5","sentiment-shock","0.6","8","25","44.699999999999946","-0.0469083155650321","0.0469083155650321","0.7444444444444445","23","67"
"4","sentiment-shock","0.6","8","27","80.3","-0.012300123001230012","0.012300123001230012","0.6111111111111112","35","55"
"3","sentiment-shock","0.6","8","27","106.3","0.011417697431018106","0.011417697431018106","0.6333333333333333","57","33"
"2","sentiment-shock","0.6","8","36","182.60000000000016","0.012756516916250746","0.012756516916250746","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","41","176.00000000000023","0.010913268236645625","0.010913268236645625","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","28","79.5","-0.009962640099626366","0.009962640099626366","0.5888888888888889","37","53"
"2","sentiment-shock","0.6","8","37","184.90000000000018","0.012595837897042767","0.012595837897042767","0.7555555555555555","68","22"
"3","sentiment-shock","0.6","8","28","107.5","0.011288805268109152","0.011288805268109152","0.6333333333333333","57","33"
"1","sentiment-shock","0.6","8","42","177.90000000000023","0.010795454545454565","0.010795454545454565","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","39","181.29999999999984","0.012283640424343888","0.012283640424343888","0.7444444444444445","67","23"
"4","sentiment-shock","0.6","8","29","78.6","-0.011320754716981204","0.011320754716981204","0.6","36","54"
"5","sentiment-shock","0.6","8","26","42.49999999999994","-0.04921700223713659","0.04921700223713659","0.7444444444444445","23","67"
"2","sentiment-shock","0.6","8","38","187.2000000000002","0.012439156300703132","0.012439156300703132","0.7555555555555555","68","22"
"1","sentiment-shock","0.6","8","43","179.60000000000022","0.009555930297920104","0.009555930297920104","0.6888888888888889","62","28"
"2","sentiment-shock","0.6","8","39","189.5000000000002","0.012286324786324835","0.012286324786324835","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","30","78.39999999999999","-0.00254452926208655","0.00254452926208655","0.5222222222222223","43","47"
"6","sentiment-shock","0.6","8","40","183.49999999999983","0.01213458356315494","0.01213458356315494","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","29","108.6","0.01023255813953483","0.01023255813953483","0.6222222222222222","56","34"
"2","sentiment-shock","0.6","8","40","191.8000000000002","0.01213720316622696","0.01213720316622696","0.7555555555555555","68","22"
"5","sentiment-shock","0.6","8","27","40.29999999999994","-0.05176470588235308","0.05176470588235308","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","44","181.10000000000022","0.008351893095768365","0.008351893095768365","0.6666666666666666","60","30"
"4","sentiment-shock","0.6","8","31","81.89999999999999","0.04464285714285715","0.04464285714285715","0.8888888888888888","80","10"
"6","sentiment-shock","0.6","8","41","185.69999999999982","0.011989100817438642","0.011989100817438642","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","41","194.10000000000022","0.011991657977059483","0.011991657977059483","0.7555555555555555","68","22"
"3","sentiment-shock","0.6","8","30","109.89999999999999","0.011970534069981558","0.011970534069981558","0.6444444444444445","58","32"
"1","sentiment-shock","0.6","8","45","182.70000000000022","0.008834897846493607","0.008834897846493607","0.6777777777777778","61","29"
"6","sentiment-shock","0.6","8","42","187.8999999999998","0.011847065158858324","0.011847065158858324","0.7444444444444445","67","23"
"5","sentiment-shock","0.6","8","28","38.09999999999994","-0.05459057071960313","0.05459057071960313","0.7444444444444445","23","67"
"4","sentiment-shock","0.6","8","32","86.39999999999999","0.05494505494505495","0.05494505494505495","1","90","0"
"2","sentiment-shock","0.6","8","42","196.40000000000023","0.011849562081401385","0.011849562081401385","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","43","190.0999999999998","0.01170835550824902","0.01170835550824902","0.7444444444444445","67","23"
"2","sentiment-shock","0.6","8","43","198.70000000000024","0.011710794297352386","0.011710794297352386","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","33","90.89999999999999","0.052083333333333336","0.052083333333333336","1","90","0"
