tick,tweet_sentiment,reach,engagement
18,-0.1741944551467895,0.1543940860915161,0.23301757763031256
15,0.0685954242944717,0.08947679752040974,0.3372676156223089
17,0.2863986492156982,0.19238947336494572,0.12831163568208298
33,-0.2752812206745147,0.02246629220727448,0.592320551137227
6,0.6952131986618042,0.055653259829014194,0.21918849095790488
4,0.1722468137741089,0.19238836549692148,0.05288485892305354
20,0.1517584472894668,0.05883427583843361,0.15662833696367964
17,0.0151560604572296,0.055653495932035744,0.15738817689073503
17,0.0084670465439558,0.027709432006961042,0.31112912213160426
27,0.224126935005188,0.19239034512994838,0.04275365989564865
26,0.1307114511728286,0.19239029064463573,0.04093004407071577
20,0.3015460669994354,0.05883427583843361,0.12704523580365737
18,0.1111432239413261,0.007116108746145845,0.8870371308444355
31,-0.4914562702178955,0.022580493422623863,0.26802087026999644
24,0.8032565116882324,0.06297592239547946,0.09492933488678384
17,0.0559033825993537,0.04391307340570073,0.1217263563142698
17,0.028825232759118,0.04742726710207696,0.10941694949597285
2,-0.0544817075133323,0.025700249778835036,0.1859075021528798
28,0.04618551582098,0.19239038145349016,0.024770781622004964
1,0.2026841342449188,0.02697843889045383,0.16594904006889216
21,0.010667648166418,0.10548087738062223,0.03773871637708323
4,-0.1332635432481765,0.0035953041651660502,1.0
30,-0.3775724470615387,1.0,0.00329263968390659
1,-0.3645688593387604,0.035284452379927535,0.08859733549465579
13,-0.9362085461616516,0.4666839566725529,0.006635935362950205
8,0.7744165658950806,0.12692161070934246,0.023707005724127452
17,0.5979120135307312,0.03483327766750556,0.07932728838458032
18,0.1074841022491455,0.016974826514224026,0.1533863532749101
17,0.147331565618515,0.10857705975821962,0.020718302011043008
13,-0.7803050875663757,0.4666839929960947,0.004711007547743276
32,0.0600849315524101,0.006639598363333854,0.3284534724684666
31,0.0889607891440391,0.043913545611743834,0.04786991540448812
25,0.0490932166576385,0.3726580532652049,0.0047616635428803
13,-0.852678656578064,0.4666839929960947,0.0033432956790436148
17,0.078286625444889,0.04391307340570073,0.03550985259105415
29,-0.1190133392810821,0.012622775841430305,0.12319538017324351
20,0.2046863287687301,0.05883427583843361,0.02618914948584165
1,0.0267837587743997,0.10857622431675872,0.01418367863836685
33,-0.0166182070970535,0.01894243644878535,0.07816220049642875
10,-0.1936473250389099,0.05152766827743413,0.02791145332050048
18,-0.6501957774162292,0.012976567138346018,0.1068334937439846
15,0.0913774222135543,0.04391303708215895,0.031052125018996
1,-0.8677961230278015,0.10857622431675872,0.011752190871789676
15,0.1217420101165771,0.031144694647054133,0.040271516133934454
17,0.0342405214905738,0.3639698979544579,0.003444607669317664
17,0.8550171852111816,0.01307879974667962,0.09528392685274302
32,0.1171515509486198,0.011690586627015888,0.10349019806494099
13,-0.6511298418045044,0.4666839929960947,0.0025327997568512233
22,0.0542867109179496,0.028832265330396213,0.03849855630413859
4,-0.3749675750732422,0.4666839929960947,0.002178207790892052
7,-0.0827200412750244,0.168193563068838,0.006028063421305911
1,0.047391090542078,0.02038598848434755,0.04888303530722861
27,-0.2383774369955063,0.01978568747115684,0.0494909072488729
13,-0.6051191687583923,0.4666839929960947,0.002076895800618003
24,0.0360796116292476,0.04391320053809695,0.021731421913783498
7,-0.9042732119560242,0.1712419981507685,0.005369535484524593
26,0.8171947598457336,0.017634952400722766,0.05177042703003901
10,-0.54960697889328,0.07210751550424976,0.012562686793982068
20,-0.861594021320343,0.01306891974331606,0.06828428144470898
3,-0.831667959690094,0.02570028610237681,0.0337368927612583
28,0.0662048235535621,0.043913309508722284,0.018844030190973103
7,-0.0116415806114673,0.04601785919578589,0.01757763031254749
24,0.0030759796500205,0.007288173363547255,0.10875842155919153
34,0.0532712712883949,0.014517466265872707,0.053492730864697836
20,0.0857660174369812,0.015645893414741655,0.04878172331695456
20,-0.3616943359375,0.015645893414741655,0.04786991540448812
31,-0.6633961796760559,0.05152810415993546,0.014031710652955777
15,-0.696201503276825,0.002282625850629242,0.2984144673522111
23,-0.8378737568855286,0.3459315907840636,0.0019249278152069298
36,0.2652010321617126,0.013548535788950052,0.04908565928777671
30,0.5596817135810852,0.008883848392074857,0.0737044729243706
32,0.5504627227783203,0.017635152180202545,0.03662428448406869
7,0.1012354344129562,0.043912819140908284,0.014386302618914949
32,0.8208749294281006,0.017635152180202545,0.03414214072235449
7,0.0884800031781196,0.043912819140908284,0.01317055873562636
